IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,GENERAL_SEARCH_DOCS_COUNT,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, SPECIFIC_SEARCH_DOCS_COUNT, WITH_HIGHLIGHT, HIGHLIGHT_TERM, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,500,1.2mb,377,prefeitura,14,158,,,,,,,
True,500,1.2mb,377,prefeitura,12,158,,,,,,,
True,500,1.2mb,377,prefeitura,16,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
True,500,1.2mb,377,prefeitura,12,158,,,,,,,
True,500,1.2mb,377,prefeitura,9,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,9,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,19,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,4,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,4,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,4,158,,,,,,,
True,500,1.2mb,377,prefeitura,4,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,5,158,,,,,,,
True,500,1.2mb,377,prefeitura,4,158,,,,,,,
True,500,1.2mb,377,prefeitura,6,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
True,500,1.2mb,377,prefeitura,7,158,,,,,,,
True,500,1.2mb,377,prefeitura,8,158,,,,,,,
