IS_SEGMENTED,SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,GENERAL_SEARCH_DOCS_COUNT,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME,SPECIFIC_SEARCH_DOCS_COUNT,WITH_HIGHLIGHT,HIGHLIGHT_TERM,FRAGMENT_SIZE,HIGHLIGHT_TIME
True,2000,151.9mb,29948,prefeitura,396,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,19,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,21,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,34,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,6,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,6,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,6,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,7,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,5,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,2,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,4,10000,,,,,,,
True,2000,151.9mb,29948,prefeitura,3,10000,,,,,,,
