IS_SEGMENTED,SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,GENERAL_SEARCH_DOCS_COUNT,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME,SPECIFIC_SEARCH_DOCS_COUNT,WITH_HIGHLIGHT,HIGHLIGHT_TERM,FRAGMENT_SIZE,HIGHLIGHT_TIME
True,500,236.9mb,163142,prefeitura,528,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,42,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,19,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,25,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,19,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,13,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,13,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,15,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,8,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,11,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,8,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,10,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,8,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,7,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,10,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,8,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,8,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,12,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,10,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,11,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,9,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,10,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,7,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,12,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,9,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,8,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,7,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,7,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,6,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,7,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,6,10000,,,,,,,
True,500,236.9mb,163142,prefeitura,6,10000,,,,,,,
