IS_SEGMENTED,SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,GENERAL_SEARCH_DOCS_COUNT,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME,SPECIFIC_SEARCH_DOCS_COUNT,WITH_HIGHLIGHT,HIGHLIGHT_TERM,FRAGMENT_SIZE,HIGHLIGHT_TIME
False,,200.2mb,490,prefeitura,1193,490,,,,,,,
False,,200.2mb,490,prefeitura,175,490,,,,,,,
False,,200.2mb,490,prefeitura,119,490,,,,,,,
False,,200.2mb,490,prefeitura,137,490,,,,,,,
False,,200.2mb,490,prefeitura,79,490,,,,,,,
False,,200.2mb,490,prefeitura,60,490,,,,,,,
False,,200.2mb,490,prefeitura,91,490,,,,,,,
False,,200.2mb,490,prefeitura,65,490,,,,,,,
False,,200.2mb,490,prefeitura,57,490,,,,,,,
False,,200.2mb,490,prefeitura,60,490,,,,,,,
False,,200.2mb,490,prefeitura,61,490,,,,,,,
False,,200.2mb,490,prefeitura,74,490,,,,,,,
False,,200.2mb,490,prefeitura,82,490,,,,,,,
False,,200.2mb,490,prefeitura,84,490,,,,,,,
False,,200.2mb,490,prefeitura,75,490,,,,,,,
False,,200.2mb,490,prefeitura,83,490,,,,,,,
False,,200.2mb,490,prefeitura,80,490,,,,,,,
False,,200.2mb,490,prefeitura,84,490,,,,,,,
False,,200.2mb,490,prefeitura,81,490,,,,,,,
False,,200.2mb,490,prefeitura,81,490,,,,,,,
False,,200.2mb,490,prefeitura,86,490,,,,,,,
False,,200.2mb,490,prefeitura,81,490,,,,,,,
False,,200.2mb,490,prefeitura,124,490,,,,,,,
False,,200.2mb,490,prefeitura,86,490,,,,,,,
False,,200.2mb,490,prefeitura,73,490,,,,,,,
False,,200.2mb,490,prefeitura,74,490,,,,,,,
False,,200.2mb,490,prefeitura,82,490,,,,,,,
False,,200.2mb,490,prefeitura,72,490,,,,,,,
False,,200.2mb,490,prefeitura,349,490,,,,,,,
False,,200.2mb,490,prefeitura,83,490,,,,,,,
False,,200.2mb,490,prefeitura,132,490,,,,,,,
False,,200.2mb,490,prefeitura,107,490,,,,,,,
False,,200.2mb,490,prefeitura,88,490,,,,,,,
False,,200.2mb,490,prefeitura,54,490,,,,,,,
False,,200.2mb,490,prefeitura,71,490,,,,,,,
False,,200.2mb,490,prefeitura,51,490,,,,,,,
False,,200.2mb,490,prefeitura,86,490,,,,,,,
False,,200.2mb,490,prefeitura,77,490,,,,,,,
False,,200.2mb,490,prefeitura,69,490,,,,,,,
False,,200.2mb,490,prefeitura,70,490,,,,,,,
False,,200.2mb,490,prefeitura,67,490,,,,,,,
False,,200.2mb,490,prefeitura,60,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,14,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,5,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,14,490,,,,,,,
False,,200.2mb,490,prefeitura,17,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,13,490,,,,,,,
False,,200.2mb,490,prefeitura,11,490,,,,,,,
False,,200.2mb,490,prefeitura,11,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,11,490,,,,,,,
False,,200.2mb,490,prefeitura,7,490,,,,,,,
False,,200.2mb,490,prefeitura,7,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,11,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,12,490,,,,,,,
False,,200.2mb,490,prefeitura,7,490,,,,,,,
False,,200.2mb,490,prefeitura,7,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,11,490,,,,,,,
False,,200.2mb,490,prefeitura,79,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,7,490,,,,,,,
False,,200.2mb,490,prefeitura,11,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,5,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,9,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,10,490,,,,,,,
False,,200.2mb,490,prefeitura,8,490,,,,,,,
False,,200.2mb,490,prefeitura,7,490,,,,,,,
False,,200.2mb,490,prefeitura,6,490,,,,,,,
False,,200.2mb,490,prefeitura,5,490,,,,,,,
False,,200.2mb,490,prefeitura,5,490,,,,,,,
False,,200.2mb,490,prefeitura,5,490,,,,,,,
False,,200.2mb,490,prefeitura,5,490,,,,,,,
False,,200.2mb,490,diário,34,490,,,,,,,
False,,200.2mb,490,diário,5,490,,,,,,,
False,,200.2mb,490,diário,5,490,,,,,,,
False,,200.2mb,490,diário,5,490,,,,,,,
False,,200.2mb,490,diário,4,490,,,,,,,
False,,200.2mb,490,diário,6,490,,,,,,,
False,,200.2mb,490,diário,8,490,,,,,,,
False,,200.2mb,490,diário,5,490,,,,,,,
False,,200.2mb,490,diário,5,490,,,,,,,
False,,200.2mb,490,diário,5,490,,,,,,,
False,,200.2mb,490,diário,7,490,,,,,,,
