IS_SEGMENTED,SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,GENERAL_SEARCH_DOCS_COUNT,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME,SPECIFIC_SEARCH_DOCS_COUNT,WITH_HIGHLIGHT,HIGHLIGHT_TERM,FRAGMENT_SIZE,HIGHLIGHT_TIME
False,,85.2mb,974,prefeitura,245,205,,,,,,,
False,,85.2mb,974,prefeitura,14,205,,,,,,,
False,,85.2mb,974,prefeitura,8,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,7,205,,,,,,,
False,,85.2mb,974,prefeitura,6,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,6,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,7,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,6,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,6,205,,,,,,,
False,,85.2mb,974,prefeitura,6,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,2,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,6,205,,,,,,,
False,,85.2mb,974,prefeitura,3,205,,,,,,,
False,,85.2mb,974,prefeitura,7,205,,,,,,,
False,,85.2mb,974,prefeitura,13,205,,,,,,,
False,,85.2mb,974,prefeitura,8,205,,,,,,,
False,,85.2mb,974,prefeitura,14,205,,,,,,,
False,,85.2mb,974,prefeitura,4,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,prefeitura,14,205,,,,,,,
False,,85.2mb,974,prefeitura,5,205,,,,,,,
False,,85.2mb,974,diário,17,974,,,,,,,
False,,85.2mb,974,diário,6,974,,,,,,,
