IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
True,1000,180.3mb,42500,prefeitura,871,,,,,,
True,1000,180.3mb,42500,prefeitura,44,,,,,,
True,1000,180.3mb,42500,prefeitura,37,,,,,,
True,1000,180.3mb,42500,prefeitura,20,,,,,,
True,1000,180.3mb,42500,prefeitura,13,,,,,,
True,1000,180.3mb,42500,prefeitura,15,,,,,,
True,1000,180.3mb,42500,prefeitura,15,,,,,,
True,1000,180.3mb,42500,prefeitura,12,,,,,,
True,1000,180.3mb,42500,prefeitura,13,,,,,,
True,1000,180.3mb,42500,prefeitura,14,,,,,,
True,1000,180.3mb,42500,prefeitura,14,,,,,,
True,1000,180.3mb,42500,prefeitura,14,,,,,,
True,1000,180.3mb,42500,prefeitura,13,,,,,,
True,1000,180.3mb,42500,prefeitura,14,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,13,,,,,,
True,1000,180.3mb,42500,prefeitura,12,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,13,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,12,,,,,,
True,1000,180.3mb,42500,prefeitura,12,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,18,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,13,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,10,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,12,,,,,,
True,1000,180.3mb,42500,prefeitura,11,,,,,,
True,1000,180.3mb,42500,prefeitura,423,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,5,,,,,,
True,1000,180.3mb,42500,prefeitura,5,,,,,,
True,1000,180.3mb,42500,prefeitura,5,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,9,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,5,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,7,,,,,,
True,1000,180.3mb,42500,prefeitura,8,,,,,,
True,1000,180.3mb,42500,prefeitura,6,,,,,,
True,1000,180.3mb,42500,prefeitura,5,,,,,,
