IS_SEGMENTED, SEGMENT_SIZE,INDEX_SIZE,DOCUMENT_COUNT,GENERAL_SEARCH_TERM,GENERAL_SEARCH_TIME,SPECIFIC_SEARCH_TERM,SPECIFIC_SEARCH_TIME, WITH_HIGHLIGHT, FRAGMENT_SIZE, HIGHLIGHT_TIME
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,4,,,,,,
False,,163.9mb,487,prefeitura,2,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,2,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,2,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,4,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,4,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,4,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
False,,163.9mb,487,prefeitura,3,,,,,,
